Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
2;31;Jostein Hole;;M;;;SS1;Menn senior;0:11:31;;;;OK
1;30;Brage Vestavik;;M;;;SS1;Menn senior;0:10:49;;;;OK
5;29;Henrik Ulleland;;M;;;SS1;Menn senior;0:12:56;;;;OK
8;28;Christian Coll;;M;;;SS1;Menn senior;0:13:46;;;;OK
6;32;Gustav Norvik;;M;;;SS1;Menn senior;0:13:13;;;;OK
7;12;Kaspar Kvalø;;M;;;SS1;Menn senior;0:13:30;;;;OK
13;13;Audun Flatvad;;M;;;SS1;Menn senior;0:14:23;;;;OK
12;5;Kristoffer Steen;;M;;;SS1;Menn senior;0:14:00;;;;OK
15;25;Ole Henrik Norberg;;M;;;SS1;Menn senior;0:15:16;;;;OK
16;27;Sindre Balstad;;M;;;SS1;Menn senior;0:15:23;;;;OK
22;9;Lars Tore Haug;;M;;;SS1;Menn senior;0:17:15;;;;OK
26;33;Anders Olsson;;M;;;SS1;Menn senior;0:18:10;;;;OK
20;15;Sindre Våge;;M;;;SS1;Menn senior;0:17:12;;;;OK
21;6;Stener Bjørnstad;;M;;;SS1;Menn senior;0:17:13;;;;OK
14;35;Sander Sølvberg;;M;;;SS1;Menn senior;0:14:32;;;;OK
19;23;Bjørn Bakko;;M;;;SS1;Menn senior;0:17:02;;;;OK
28;8;Dirk Scholtholt;;M;;;SS1;Menn senior;0:23:48;;;;OK
24;10;Martin Ellingsen;;M;;;SS1;Menn senior;0:17:53;;;;OK
25;17;Dimitri Georgiu;;M;;;SS1;Menn senior;0:18:00;;;;OK
4;18;Petter Bentzen;;M;;;SS1;Menn senior;0:12:43;;;;OK
23;21;Rune Strandli;;M;;;SS1;Menn senior;0:17:26;;;;OK
18;34;Christian Samuelsen;;M;;;SS1;Menn senior;0:16:18;;;;OK
27;36;Børge Kvinge;;M;;;SS1;Menn senior;0:23:17;;;;OK
1;31;Jostein Hole;;M;;;SS2;Menn senior;0:07:11;;;;OK
2;30;Brage Vestavik;;M;;;SS2;Menn senior;0:07:39;;;;OK
3;29;Henrik Ulleland;;M;;;SS2;Menn senior;0:07:50;;;;OK
7;28;Christian Coll;;M;;;SS2;Menn senior;0:08:56;;;;OK
5;32;Gustav Norvik;;M;;;SS2;Menn senior;0:08:56;;;;OK
6;12;Kaspar Kvalø;;M;;;SS2;Menn senior;0:08:56;;;;OK
9;13;Audun Flatvad;;M;;;SS2;Menn senior;0:09:09;;;;OK
10;5;Kristoffer Steen;;M;;;SS2;Menn senior;0:09:12;;;;OK
16;25;Ole Henrik Norberg;;M;;;SS2;Menn senior;0:09:54;;;;OK
24;27;Sindre Balstad;;M;;;SS2;Menn senior;0:12:47;;;;OK
20;9;Lars Tore Haug;;M;;;SS2;Menn senior;0:11:53;;;;OK
18;33;Anders Olsson;;M;;;SS2;Menn senior;0:10:14;;;;OK
19;15;Sindre Våge;;M;;;SS2;Menn senior;0:11:02;;;;OK
17;6;Stener Bjørnstad;;M;;;SS2;Menn senior;0:10:01;;;;OK
8;35;Sander Sølvberg;;M;;;SS2;Menn senior;0:09:04;;;;OK
21;23;Bjørn Bakko;;M;;;SS2;Menn senior;0:12:04;;;;OK
25;8;Dirk Scholtholt;;M;;;SS2;Menn senior;0:12:51;;;;OK
11;10;Martin Ellingsen;;M;;;SS2;Menn senior;0:09:21;;;;OK
23;17;Dimitri Georgiu;;M;;;SS2;Menn senior;0:12:25;;;;OK
15;18;Petter Bentzen;;M;;;SS2;Menn senior;0:09:44;;;;OK
22;21;Rune Strandli;;M;;;SS2;Menn senior;0:12:14;;;;OK
14;34;Christian Samuelsen;;M;;;SS2;Menn senior;0:09:41;;;;OK
26;36;Børge Kvinge;;M;;;SS2;Menn senior;0:15:33;;;;OK
1;31;Jostein Hole;;M;;;SS3;Menn senior;0:11:06;;;;OK
2;30;Brage Vestavik;;M;;;SS3;Menn senior;0:12:06;;;;OK
4;29;Henrik Ulleland;;M;;;SS3;Menn senior;0:12:33;;;;OK
6;28;Christian Coll;;M;;;SS3;Menn senior;0:14:04;;;;OK
5;32;Gustav Norvik;;M;;;SS3;Menn senior;0:13:31;;;;OK
9;12;Kaspar Kvalø;;M;;;SS3;Menn senior;0:14:52;;;;OK
8;13;Audun Flatvad;;M;;;SS3;Menn senior;0:14:48;;;;OK
13;5;Kristoffer Steen;;M;;;SS3;Menn senior;0:16:31;;;;OK
12;25;Ole Henrik Norberg;;M;;;SS3;Menn senior;0:16:15;;;;OK
14;27;Sindre Balstad;;M;;;SS3;Menn senior;0:17:40;;;;OK
18;9;Lars Tore Haug;;M;;;SS3;Menn senior;0:20:25;;;;OK
20;33;Anders Olsson;;M;;;SS3;Menn senior;0:21:13;;;;OK
15;15;Sindre Våge;;M;;;SS3;Menn senior;0:19:17;;;;OK
19;6;Stener Bjørnstad;;M;;;SS3;Menn senior;0:20:30;;;;OK
26;35;Sander Sølvberg;;M;;;SS3;Menn senior;0:41:34;;;;OK
21;23;Bjørn Bakko;;M;;;SS3;Menn senior;0:22:21;;;;OK
23;8;Dirk Scholtholt;;M;;;SS3;Menn senior;0:25:49;;;;OK
17;10;Martin Ellingsen;;M;;;SS3;Menn senior;0:20:23;;;;OK
24;17;Dimitri Georgiu;;M;;;SS3;Menn senior;0:25:55;;;;OK
10;18;Petter Bentzen;;M;;;SS3;Menn senior;0:15:48;;;;OK
22;21;Rune Strandli;;M;;;SS3;Menn senior;0:24:04;;;;OK
16;34;Christian Samuelsen;;M;;;SS3;Menn senior;0:19:53;;;;OK
25;36;Børge Kvinge;;M;;;SS3;Menn senior;0:33:20;;;;OK
1;31;Jostein Hole;;M;;;SS4;Menn senior;0:08:46;;;;OK
2;30;Brage Vestavik;;M;;;SS4;Menn senior;0:09:29;;;;OK
3;29;Henrik Ulleland;;M;;;SS4;Menn senior;0:09:34;;;;OK
4;28;Christian Coll;;M;;;SS4;Menn senior;0:10:00;;;;OK
6;32;Gustav Norvik;;M;;;SS4;Menn senior;0:11:10;;;;OK
8;12;Kaspar Kvalø;;M;;;SS4;Menn senior;0:11:21;;;;OK
5;13;Audun Flatvad;;M;;;SS4;Menn senior;0:11:00;;;;OK
10;5;Kristoffer Steen;;M;;;SS4;Menn senior;0:11:27;;;;OK
9;25;Ole Henrik Norberg;;M;;;SS4;Menn senior;0:11:26;;;;OK
17;27;Sindre Balstad;;M;;;SS4;Menn senior;0:13:44;;;;OK
16;9;Lars Tore Haug;;M;;;SS4;Menn senior;0:13:27;;;;OK
21;33;Anders Olsson;;M;;;SS4;Menn senior;0:14:50;;;;OK
20;15;Sindre Våge;;M;;;SS4;Menn senior;0:14:34;;;;OK
18;6;Stener Bjørnstad;;M;;;SS4;Menn senior;0:13:50;;;;OK
12;35;Sander Sølvberg;;M;;;SS4;Menn senior;0:11:41;;;;OK
22;23;Bjørn Bakko;;M;;;SS4;Menn senior;0:16:10;;;;OK
23;8;Dirk Scholtholt;;M;;;SS4;Menn senior;0:21:05;;;;OK
14;10;Martin Ellingsen;;M;;;SS4;Menn senior;0:13:15;;;;OK
25;17;Dimitri Georgiu;;M;;;SS4;Menn senior;00:00:00;;;;DNF
11;18;Petter Bentzen;;M;;;SS4;Menn senior;0:11:27;;;;OK
