Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
1st;84;Stefan Johansson;;Menn funduro 17+;;;;;6:56.05;1;4:05.38;2;5:48.40;1;1:16.00;1;18:05.83;;M
2nd;85;Erik Strand;;Menn funduro 17+;;;;;7:07.83;1;4:03.10;1;5:56.81;1;1:18.60;2;18:26.34;+0:20.51;M
3rd;88;Espen Unneberg;IF Frøy;Menn funduro 17+;;;;;7:38.00;2;4:17.21;2;6:00.92;2;1:18.03;1;19:14.16;+1:08.33;M
4th;86;Roger Strømstad;Hafrsfjord SK;Menn funduro 17+;;;;;7:57.35;4;4:33.50;4;6:31.15;3;1:28.22;4;20:30.22;+2:24.39;M
5th;82;Martin Ehrnst;Svetth;Menn funduro 17+;;;;;7:55.40;3;4:29.00;3;6:40.29;4;1:26.05;3;20:30.74;+2:24.91;M
6th;87;Kristen Thorsen;IF Frøy;Menn funduro 17+;;;;;8:11.37;5;4:37.10;5;6:40.80;5;1:29.75;5;20:59.02;+2:53.19;M
1st;89;Nicolai Syvertsen;;Menn funduro El-sykkel 17;;;;;10:09.17;1;6:07.08;1;8:20.45;1;1:54.00;1;26:30.70;;M
1st;107;Liv Onseng;;Kvinner åpen klasse 17+;6:31.92;2;5:49.38;2;9:07.25;1;5:31.60;1;7:54.25;1;1:40.72;1;36:35.12;;F
2nd;106;Svanhild Helgeland;Ryfylke SK;Kvinner åpen klasse 17+;7:50.82;3;6:15.92;3;9:31.72;2;5:42.21;2;8:51.40;2;1:51.32;2;40:03.39;+3:28.27;F
;105;Sarah Büll;;Kvinner åpen klasse 17+;6:14.68;1;4:55.85;1;;DNF;;DNS;;DNS;;DNS;DNF;;F
;174;Pernille Aas;Bærum OCK;Kvinner Master 35+;6:29.60;1;5:21.67;1;;DNF;;DNS;;DNS;;DNS;DNF;;F
;175;Anna Brandsdal;Romeriksåsen SK;Kvinner Master 35+;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;F
1st;224;Hilde Strædet;Kristiansands CK;Kvinner senior 19+;4:52.15;1;4:05.89;1;6:38.07;1;3:49.40;1;5:28.18;1;1:12.95;1;26:06.64;;F
2nd;225;Ingun Ståhl;;Kvinner senior 19+;4:59.00;2;4:14.37;3;6:54.56;2;4:08.62;3;5:54.66;3;1:18.14;2;27:29.35;+1:22.71;F
3rd;220;Else Bratteland;;Kvinner senior 19+;5:24.05;3;4:23.85;4;7:05.70;4;4:14.50;5;5:53.53;2;1:20.10;4;28:21.73;+2:15.09;F
4th;217;Silje Kreken Almeland;Bærum OCK;Kvinner senior 19+;6:56.75;7;4:14.00;2;7:09.85;5;4:12.74;4;6:08.00;4;1:19.98;3;30:01.32;+3:54.68;F
5th;221;Mari Elise Hatlo;Aron Sportsklubb;Kvinner senior 19+;5:51.92;6;4:48.25;6;7:39.47;6;4:27.30;6;6:15.63;5;1:28.41;5;30:30.98;+4:24.34;F
6th;222;Nina Karlsen;Hafrsfjord SK;Kvinner senior 19+;37:51.96;8;6:37.91;7;10:23.17;7;6:35.16;7;9:42.83;7;2:08.68;6;73:19.71;+47:13.07;F
;218;Anna Arvidsson;;Kvinner senior 19+;5:24.07;4;4:24.21;5;7:04.32;3;4:08.41;2;6:46.07;6;;DNF;DNF;;F
;223;Nadja Mlodyszewski;Siggerud IL - sykkel;Kvinner senior 19+;5:48.47;5;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;F
;219;Anette Røssum Bastnes;Aron Sportsklubb;Kvinner senior 19+;79:03.46;9;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;F
1st;117;Lachlan Cruickshank;Ryfylke SK;Menn åpen klasse 17+;4:37.80;2;3:48.96;2;6:06.97;2;3:33.60;1;5:01.48;1;1:04.23;1;24:13.04;;M
2nd;152;Kristoffer Rakneberg;Bergen MTB Klubb;Menn åpen klasse 17+;4:42.23;4;3:46.60;1;6:00.26;1;3:35.81;2;5:03.57;2;1:06.32;2;24:14.79;+0:01.75;M
3rd;116;Christopher Christophersen;Team MSSL;Menn åpen klasse 17+;4:44.81;6;4:02.46;5;6:17.20;4;3:44.50;3;5:06.09;3;1:12.38;6;25:07.44;+0:54.40;M
4th;118;Jørgen Janshaug Dahlen;;Menn åpen klasse 17+;4:41.03;3;3:58.81;4;6:21.45;6;3:48.30;5;5:11.47;4;1:10.43;3;25:11.49;+0:58.45;M
5th;131;Vemund Hoholm;;Menn åpen klasse 17+;4:43.60;5;3:53.36;3;6:20.88;5;3:46.98;4;5:17.71;6;1:13.88;9;25:16.41;+1:03.37;M
6th;148;Jako Oostveen;;Menn åpen klasse 17+;4:48.50;7;4:05.50;6;6:34.50;7;3:49.60;6;5:24.47;7;1:12.50;7;25:55.07;+1:42.03;M
7th;156;Martin Stene;;Menn åpen klasse 17+;4:58.95;8;4:11.55;7;6:35.08;8;3:56.90;7;5:26.15;8;1:17.77;16;26:26.40;+2:13.36;M
8th;120;Vidar Folden;SK Rye sykkel;Menn åpen klasse 17+;5:21.35;18;4:17.80;10;6:51.08;12;3:59.31;8;5:34.00;9;1:10.78;4;27:14.32;+3:01.28;M
9th;133;Gard Høivang;;Menn åpen klasse 17+;5:09.47;12;4:16.36;9;6:52.31;13;4:00.83;9;5:46.14;13;1:15.03;11;27:20.14;+3:07.10;M
10th;149;Adam Paulsen;;Menn åpen klasse 17+;5:11.25;13;4:22.55;16;6:45.26;10;4:01.06;11;5:50.02;19;1:14.95;10;27:25.09;+3:12.05;M
11th;114;Alexandre Bremer;Matfabrikken;Menn åpen klasse 17+;5:05.37;11;4:21.44;15;6:58.20;14;4:08.47;17;5:43.52;11;1:17.70;15;27:34.70;+3:21.66;M
12th;111;Sander Blomgren;Nybiltester;Menn åpen klasse 17+;5:02.82;9;4:21.38;14;6:42.53;9;4:01.02;10;6:09.13;22;1:22.67;23;27:39.55;+3:26.51;M
13th;142;Knut Arne Letterud;Asker CK;Menn åpen klasse 17+;5:19.91;17;4:19.82;12;7:04.85;20;4:02.60;12;5:49.28;18;1:19.53;20;27:55.99;+3:42.95;M
14th;146;Christopher Messiha;Verkets kranklag;Menn åpen klasse 17+;5:16.63;15;4:19.69;11;7:00.28;16;4:06.18;15;5:48.37;16;1:24.90;25;27:56.05;+3:43.01;M
15th;110;Fredrik Bekkåsen;;Menn åpen klasse 17+;5:18.10;16;4:53.58;30;6:49.72;11;4:03.91;13;5:40.62;10;1:12.55;8;27:58.48;+3:45.44;M
16th;122;Philipp Garbers;;Menn åpen klasse 17+;5:14.01;14;4:30.28;21;7:08.13;23;4:04.51;14;5:48.18;15;1:19.42;18;28:04.53;+3:51.49;M
17th;130;Øyvind Hofseth;Kongsberg Slowriders;Menn åpen klasse 17+;5:29.55;24;4:21.35;13;7:00.15;15;4:07.96;16;5:47.77;14;1:19.50;19;28:06.28;+3:53.24;M
18th;159;Håkon Trydal;Arendal singletrack;Menn åpen klasse 17+;5:22.45;20;4:24.87;18;7:09.49;24;4:11.25;18;5:43.62;12;1:16.41;14;28:08.09;+3:55.05;M
19th;154;Øystein Røed;Hurum Sport;Menn åpen klasse 17+;5:28.06;23;4:27.82;19;7:04.60;18;4:20.00;22;5:56.69;20;1:25.82;26;28:42.99;+4:29.95;M
20th;134;Edmund Høydahl;IF Frøy;Menn åpen klasse 17+;5:21.64;19;4:37.28;26;7:07.56;22;4:16.10;21;6:06.52;21;1:15.90;13;28:45.00;+4:31.96;M
21st;129;Anders Hellström;;Menn åpen klasse 17+;5:22.56;21;4:30.20;20;7:03.23;17;4:20.02;23;6:11.16;24;1:20.20;21;28:47.37;+4:34.33;M
22nd;139;Alexander Kristensen;;Menn åpen klasse 17+;5:48.62;31;4:24.35;17;7:07.44;21;4:22.03;24;5:48.97;17;1:19.00;17;28:50.41;+4:37.37;M
23rd;135;Fredrik Jansson;;Menn åpen klasse 17+;5:37.20;26;4:32.90;22;7:22.47;26;4:23.69;26;6:16.53;26;1:21.50;22;29:34.29;+5:21.25;M
24th;126;Jon Olav Grepstad;Stovnerkameratene;Menn åpen klasse 17+;5:26.35;22;4:35.00;24;7:26.91;27;4:15.75;19;6:22.57;28;1:30.97;31;29:37.55;+5:24.51;M
25th;151;Jamieson Pothecary;SK Rye sykkel;Menn åpen klasse 17+;5:51.15;33;4:35.69;25;7:30.91;28;4:15.91;20;6:10.20;23;1:15.33;12;29:39.19;+5:26.15;M
26th;138;William Kempton;Oslomarka Croissant- Og Cruxeklubb;Menn åpen klasse 17+;5:37.84;27;4:33.58;23;7:21.16;25;4:49.32;34;6:12.80;25;1:23.38;24;29:58.08;+5:45.04;M
27th;109;Markus Baust;;Menn åpen klasse 17+;5:46.10;30;4:47.20;27;7:38.25;29;4:23.97;27;6:25.67;29;1:30.73;30;30:31.92;+6:18.88;M
28th;128;Olav Helland Stenersen;Ryfylke SK;Menn åpen klasse 17+;5:29.66;25;4:48.11;29;7:58.65;33;4:42.27;31;6:20.17;27;1:28.03;27;30:46.89;+6:33.85;M
29th;140;Ola Myklatun Krosness;;Menn åpen klasse 17+;4:29.50;1;9:14.24;42;6:07.27;3;4:33.22;28;5:13.90;5;1:12.07;5;30:50.20;+6:37.16;M
