Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
1st;20;Sofie Langum;Aron Sportsklubb;K13-14;;;;;7:48.00;1;10:44.87;1;;;1:40.62;1;20:13.49;;F
2nd;75;Amanda Stokke;;K13-14;;;;;9:46.21;2;14:48.75;2;;;2:28.08;2;27:03.04;+6:49.55;F
1st;42;Storm Rødby Eilertsen;Aron SK;M13-14;;;;;4:41.98;1;6:55.32;1;;;1:03.18;1;12:40.48;;M
2nd;25;Mikkel Skotte Lauritzen;SK Rye sykkel;M13-14;;;;;5:04.36;2;7:20.69;3;;;1:07.30;2;13:32.35;+0:51.87;M
3rd;27;Emil Hernes;SK Rye sykkel;M13-14;;;;;5:20.86;3;7:17.60;2;;;1:11.68;3;13:50.14;+1:09.66;M
4th;23;Olav Holmøy Sevaldson;SK Rye sykkel;M13-14;;;;;5:29.25;6;7:29.78;4;;;1:17.52;8;14:16.55;+1:36.07;M
5th;45;Martin Harlem Henriksen;Bærum OCK;M13-14;;;;;5:25.38;5;7:39.60;6;;;1:12.25;4;14:17.23;+1:36.75;M
6th;35;Aadne Førsund Hjelmtvedt;Re SK;M13-14;;;;;5:58.62;8;7:39.07;5;;;1:14.43;6;14:52.12;+2:11.64;M
7th;44;Audun Asphaug;Oppdal SK;M13-14;;;;;5:51.65;7;8:02.57;7;;;1:19.45;9;15:13.67;+2:33.19;M
8th;24;Sjur Undheim;Hafrsfjord SK;M13-14;;;;;6:01.28;9;8:16.06;8;;;1:16.90;7;15:34.24;+2:53.76;M
9th;34;Aleksander Haugerudbråten;Kristiansands CK;M13-14;;;;;5:25.25;4;9:45.32;11;;;1:12.75;5;16:23.32;+3:42.84;M
10th;22;Mikkel August Myrvold;SK Rye sykkel;M13-14;;;;;6:27.83;11;8:53.18;9;;;1:25.06;11;16:46.07;+4:05.59;M
11th;39;Samuel Aanesland;Kristiansand cykkel klubb;M13-14;;;;;6:34.85;12;9:17.68;10;;;1:24.38;10;17:16.91;+4:36.43;M
12th;43;Pelle Aker;;M13-14;;;;;7:53.07;14;11:05.01;12;;;1:38.73;13;20:36.81;+7:56.33;M
13th;41;Edvald Bang-Johansen;IF Frøy;M13-14;;;;;7:45.33;13;11:21.72;13;;;1:30.78;12;20:37.83;+7:57.35;M
;21;Sondre Svendsen;Year;M13-14;;;;;6:21.79;10;;DN»F;;;DNS;DNS;;;M
1st;86;Marte Holmøy;SK Rye sykkel;K Funduro 17+;;;;;9:28.92;1;11:48.68;1;7:08.54;1;1:48.93;1;30:15.07;;F
1st;46;Emily Skeie-Lebreux;CK Nittedal;K15-16;;;;;5:52.54;1;8:21.10;1;5:02.65;1;1:20.83;1;20:37.12;;M
1st;88;Morten Lauritzen;;M Funduro 17+;;;;;5:46.47;1;7:38.42;1;6:11.84;4;1:28.00;2;21:04.73;;M
2nd;89;Kjetil Løvaas;Holmestrand SK;M Funduro 17+;;;;;6:32.15;2;8:40.58;2;5:09.36;1;1:26.77;1;21:48.86;+0:44.13;M
3rd;93;Jan-Andre Granheim;;M Funduro 17+;;;;;6:34.04;3;8:55.03;3;5:29.17;2;1:32.68;3;22:30.92;+1:26.19;M
4th;87;Lars Leion;;M Funduro 17+;;;;;6:56.10;4;8:59.22;4;6:00.70;3;1:35.10;4;23:31.12;+2:26.39;M
5th;90;Ruben Damgaard Johnsrud;CK Nittedal;M Funduro 17+;;;;;21:48.10;5;11:51.68;5;6:22.06;5;1:40.13;5;41:41.97;+20:37.24;M
1st;50;Bård Gujord Røisli;CK Nittedal;M15-16;;;;;4:57.27;2;6:50.56;2;4:15.60;1;1:08.33;3;17:11.76;;M
2nd;69;William Johnsen;IF Frøy;M15-16;;;;;4:57.88;3;7:01.27;3;4:19.29;2;1:08.75;4;17:27.19;+0:15.43;M
3rd;61;Sondre Oldervik Andersen;IF Frøy;M15-16;;;;;5:10.70;7;7:03.48;4;4:24.50;4;1:07.28;1;17:45.96;+0:34.20;M
4th;51;Felix Tho Sveva;Sandefjord SK;M15-16;;;;;5:01.18;4;7:10.97;6;4:26.81;6;1:08.12;2;17:47.08;+0:35.32;M
5th;67;Teodor Johnsen Alexander;IF Frøy;M15-16;;;;;5:08.78;5;7:08.52;5;4:22.98;3;1:17.58;13;17:57.86;+0:46.10;M
6th;66;Markus Lia Reenskaug;IF Frøy;M15-16;;;;;5:21.75;12;7:21.93;8;4:25.50;5;1:20.86;17;18:30.04;+1:18.28;M
7th;47;Martin Glamsland Stoveland;Kristiansands CK;M15-16;;;;;5:17.20;8;7:19.17;7;4:40.31;11;1:14.50;10;18:31.18;+1:19.42;M
8th;60;Sune Bjerke;SK Rye sykkel;M15-16;;;;;5:09.32;6;7:24.06;9;4:44.56;12;1:13.35;8;18:31.29;+1:19.53;M
9th;74;Mats Laeskogen;;M15-16;;;;;5:23.96;15;7:25.46;10;4:37.56;10;1:18.45;14;18:45.43;+1:33.67;M
10th;62;Jon Eid;Lørenskog CK;M15-16;;;;;5:34.38;19;7:25.78;11;4:34.96;8;1:16.25;12;18:51.37;+1:39.61;M
11th;71;Mathias Skeie-Nilsen;CK Elverum;M15-16;;;;;5:20.65;11;7:37.65;15;4:37.37;9;1:16.18;11;18:51.85;+1:40.09;M
12th;57;Torjus Sandvik-Are;SK Rye sykkel;M15-16;;;;;5:23.92;14;7:34.08;13;4:44.68;13;1:14.23;9;18:56.91;+1:45.15;M
13th;56;Malte Andreas Torp Bure;Gresvik IF;M15-16;;;;;5:30.21;18;7:36.73;14;4:30.90;7;1:20.42;16;18:58.26;+1:46.50;M
14th;53;Even Stensland;Modum CK;M15-16;;;;;5:19.47;9;7:43.07;17;4:50.95;17;1:12.28;6;19:05.77;+1:54.01;M
15th;52;Tobias Malmstrøm-Johansen;Hafrsfjord SK;M15-16;;;;;5:29.53;17;7:44.02;18;4:47.18;15;1:12.30;7;19:13.03;+2:01.27;M
