Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
1st;320;Liv Onseng;;Kvinner Elduro;8:12.43;1;9:16.15;1;8:03.89;1;4:41.75;1;8:27.39;1;1:36.13;1;40:17.74;;F
1st;100;Tatiana Furnes;SK Rye sykkel;;Kvinner junior;6:55.41;1;7:40.10;1;6:55.41;1;4:36.85;1;7:45.06;1;1:20.43;1;35:13.26;;F
1st;118;Lise Marie Wiik;;Kvinner master;6:38.73;1;7:22.10;1;6:52.61;3;4:23.30;1;7:14.22;1;1:17.77;1;33:48.73;;F
2nd;123;Celine Kirkeng;Aron Sportsklubb;Kvinner master;6:54.90;3;7:30.15;2;6:44.94;1;4:25.15;3;7:17.85;2;1:21.93;3;34:14.92;+0:26.19;F
3rd;122;Mari Elise Hatlo;;Kvinner master;6:47.97;2;7:36.45;3;6:49.26;2;4:24.80;2;7:21.43;3;1:20.45;2;34:20.36;+0:31.63;F
4th;125;Karianne Bakken Mydland;;Kvinner master;8:29.50;9;9:02.60;5;8:04.75;7;5:44.55;4;9:03.46;4;1:35.02;4;41:59.88;+8:11.15;F
5th;117;Anette Dale;Vennesla OCK;Kvinner master;8:20.30;7;9:13.62;8;7:47.72;6;5:55.92;7;9:19.15;5;1:43.18;6;42:19.89;+8:31.16;F
6th;124;Mari Kleveland;;Kvinner master;8:26.26;8;9:40.42;9;9:03.25;9;5:49.43;6;10:07.07;7;1:51.30;7;44:57.73;+11:09.00;F
7th;115;Marte Holmøy;SK Rye sykkel;Kvinner master;9:31.85;10;9:40.58;10;8:57.61;8;5:48.86;5;9:50.10;6;1:37.70;5;45:26.70;+11:37.97;F
;119;Ida Karine Nesbø;Siggerud IL – sykkel;Kvinner master;7:32.55;5;9:06.12;6;7:20.30;4;;DNF;;DNS;;DNS;;;F
;116;Kristel Linnea Mulelid;IF Frøy;Kvinner master;7:30.60;4; 8:40.65;4; 7:24.29;5;;DNF;;DNS;;DNS;;;F
;121;Elin Kristine Berg;;Kvinner master; 8:15.67;6; 9:10.91;7;;DNF;;DNS;;DNS;;DNS;;;F
;120;Lill Nilsson;CK Øst;Kvinner master;11:15.43;11;14:38.40;11;; DNF;;DNS;;DNS;;DNS;;;F
1st;197;Anna Littorin-Sandbu;SK Rye sykkel;Kvinner senior;6:15.93;1;6:50.50;2;6:12.00;2;3:55.55;1;6:43.37;2;1:13.18;2;31:10.53;;F
2nd;198;Hilde Strædet;Kristiansands CK;Kvinner senior;6:16.54;2;6:49.85;1;6:10.87;1;4:10.03;3;6:40.98;1;1:08.53;1;31:16.80;+0:06.27;F
3rd;196;Ingun Ståhl;;Kvinner senior;6:36.25;3;7:14.55;3;6:29.66;3;4:12.70;4;7:22.90;6;1:19.84;7;33:15.90;+2:05.37;F
4th;188;Anna Arvidsson;;Kvinner senior;7:04.48;7;7:25.78;5;6:31.54;4;4:08.67;2;7:08.90;3;1:16.15;4;33:35.52;+2:24.99;F
5th;193;Julia Hamre;Vinstra IL;Kvinner senior;6:36.43;4;7:20.85;4;6:43.45;6;4:18.41;5;7:22.20;5;1:17.87;6;33:39.21;+2:28.68;F
6th;191;Anna Stray Rongve;CK Haugaland;Kvinner senior;6:43.16;5;7:25.80;6;6:34.90;5;4:44.80;7;7:17.98;4;1:15.98;3;34:02.62;+2:52.09;F
7th;194;Nadja Mlodyszewski;;Kvinner senior;7:05.56;8;7:37.50;7;6:57.97;7;4:20.98;6;7:25.20;7;1:16.16;5;34:43.37;+3:32.84;F
8th;192;Mari Aarrestad;Siggerud IL – sykkel;Kvinner senior;7:11.50;9;8:24.47;8;7:31.25;8;4:46.29;8;8:26.18;8;1:28.30;8;37:47.99;+6:37.46;F
;195;Silje Kreken Almeland Bærum OCK;;Kvinner senior;6:49.90;6;;DNF;8:47.68;9;DNF;DNF;;DNS;;DNS;;;F
;190;Signe Sande;;Kvinner senior;10:41.92;10;12:56.90;9;;;;DNF;;DNS;;DNS;;;F
1st;335;Jørn Huseby;Aron Sportsklubb;Menn Elduro;5:45.80;1;6:23.00;2;5:45.41;2;3:29.65;2;6:12.93;1;1:04.93;3;28:41.72;;M
